name,price,brand,top_notes,middle_notes,base_notes,reviews,url
AMEER AL OUDH BODY SPRAY,500/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ameer-al-oudhbody-spray/
AMEER AL OUDH INTENSE OUD,"2,400/=",,Top notes: Woody notes and Agarwood (Oud).,Middle notes: Vanilla and Sugar.,"Base notes: Agarwood (Oud), Sandalwood and Herbal Notes.","2 REVIEWS FOR AMEER AL OUDH INTENSE OUD
Rated 4 out of 5
Bibiana – December 2, 2023
Restock ASAP. One of my best buys
Rated 5 out of 5
Lu – October 26, 2024
Love love it
Add a review
Your email address will not be published. Required fields are marked *
Your rating
1 2 3 4 5",https://middleeasternscents.co.ke/product/ameer-al-oudh-intense-oud/
AMEERAT AL ARAB,"2,500/=",,"Top notes: Grapes, Orange, Apple, Orange Blossom.<br>
Middle notes: Rose, Jasmine, Horsehair, Ylang – ylang, Gardenie, White Musk.<br>
Base notes: Sandalwood, Tonka Bean, Amber, Musk.","Rose, Jasmine, Horsehair, Ylang – ylang, Gardenie, White Musk.","Sandalwood, Tonka Bean, Amber, Musk.",No Reviews Available,https://middleeasternscents.co.ke/product/ameerat-al-arab-2/
AMEERAT AL ARAB PRIVE ROSE,"2,300/=",,"Top notes: Strawberry, Musk, Peach.<br>
Middle notes: Rose, Vanilla, Apple.<br>
Base notes: White musk, Cashmere wood.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ameerat-al-arab-prive-rose/
ANA ABIYEDH,"2,400/=",,Top notes: White Musk and Cypriol Oil or Nagarmotha.,"Middle notes: Vanilla, Saffron and Cardamom.",Base notes: Tonka Bean and Guaiac Wood.,No Reviews Available,https://middleeasternscents.co.ke/product/ana-abiyedh/
ANA ABIYEDH BODY SPRAY,500/=,,"Top notes: White Musk and Cypriol Oil or Nagarmotha.<br>
Middle notes: Vanilla, Saffron and Cardamom.<br>
Base notes: Tonka Bean and Guaiac Wood.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ana-abiyedh-body-spray/
ANA ABIYEDH LEATHER,"2,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ana-abiyedh-leather/
ANA ABIYEDH POUDRÉE,"2,500/=",,"Top notes: rose, white musk, nagarmotha.","Middle notes: patchouli, caramel, saffron, vanilla.","Base notes: dry amber, oud, tonka bean, guaiac wood.",No Reviews Available,https://middleeasternscents.co.ke/product/ana-abiyedh-poudree/
ANA ABIYEDH POUDRÉE PERFUMED SPRAY 200ML,500/=,LATTAFA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ana-abiyedh-powder-perfumed-spray-200ml/
ANA ABIYEDH ROUGE,"2,500/=",,"Top notes: Nashi Pear, Kumquat and Bergamot.<br>
Middle notes: Geranium, Cardamom and Coriander.<br>
Base notes: Ambergris, Suede and Tahitian Vetiver.","Geranium, Cardamom and Coriander.","Ambergris, Suede and Tahitian Vetiver.","1 REVIEW FOR ANA ABIYEDH ROUGE
Rated 5 out of 5
YVONNE OBATI – November 18, 2023
Love the longevity of the perfume
Add a review
Your email address will not be published. Required fields are marked *
Your rating
1 2 3 4 5",https://middleeasternscents.co.ke/product/ana-abiyedh-rouge/
